year_film,category,category
2013,DOCUMENTARY (Feature),1
2014,DOCUMENTARY (Feature),1
2015,DOCUMENTARY (Feature),2
2016,DOCUMENTARY (Short Subject),2
2016,DOCUMENTARY (Feature),1
2017,DOCUMENTARY (Feature),2
2017,ACTRESS IN A SUPPORTING ROLE,1
2017,CINEMATOGRAPHY,1
2017,DOCUMENTARY (Short Subject),1
2017,FOREIGN LANGUAGE FILM,1
2017,MUSIC (Original Song),1
2017,WRITING (Adapted Screenplay),1
2018,DOCUMENTARY (Short Subject),2
2018,ACTRESS IN A LEADING ROLE,1
2018,ACTRESS IN A SUPPORTING ROLE,1
2018,BEST PICTURE,1
2018,CINEMATOGRAPHY,1
2018,COSTUME DESIGN,1
2018,DIRECTING,1
2018,FOREIGN LANGUAGE FILM,1
2018,MUSIC (Original Song),1
2018,PRODUCTION DESIGN,1
2018,SOUND EDITING,1
2018,SOUND MIXING,1
2018,WRITING (Adapted Screenplay),1
2018,WRITING (Original Screenplay),1
2019,ACTOR IN A SUPPORTING ROLE,3
2019,ACTOR IN A LEADING ROLE,2
2019,ANIMATED FEATURE FILM,2
2019,BEST PICTURE,2
2019,DOCUMENTARY (Feature),2
2019,WRITING (Adapted Screenplay),2
2019,ACTRESS IN A LEADING ROLE,1
2019,ACTRESS IN A SUPPORTING ROLE,1
2019,CINEMATOGRAPHY,1
2019,COSTUME DESIGN,1
2019,DIRECTING,1
2019,DOCUMENTARY (Short Subject),1
2019,FILM EDITING,1
2019,MUSIC (Original Score),1
2019,PRODUCTION DESIGN,1
2019,VISUAL EFFECTS,1
2019,WRITING (Original Screenplay),1
2020,MAKEUP AND HAIRSTYLING,3
2020,MUSIC (Original Song),3
2020,ACTOR IN A LEADING ROLE,2
2020,ACTRESS IN A LEADING ROLE,2
2020,ACTRESS IN A SUPPORTING ROLE,2
2020,ANIMATED FEATURE FILM,2
2020,BEST PICTURE,2
2020,CINEMATOGRAPHY,2
2020,COSTUME DESIGN,2
2020,DOCUMENTARY (Feature),2
2020,MUSIC (Original Score),2
2020,PRODUCTION DESIGN,2
2020,ACTOR IN A SUPPORTING ROLE,1
2020,DIRECTING,1
2020,DOCUMENTARY (Short Subject),1
2020,FILM EDITING,1
2020,SHORT FILM (Animated),1
2020,SOUND,1
2020,VISUAL EFFECTS,1
2020,WRITING (Adapted Screenplay),1
2020,WRITING (Original Screenplay),1
